Vendor Name,Vendor Overview,Product Name,Product Description,Legal Functionality,Functionality Sub-Category,Main problem solved,Primary User Segment,Maturity Entry Level,Regions Served,AI Powered,AI Platform Type,Hosting Location,Pricing Model,Demo / Proof of Concept Available,Adoption Level,Ease of Purchase,Deployment Model,Industry Focus,Languages Supported,HQ,Office Locations,Hosting Provider,ISO Certifications,Security & Compliance Certifications,Approx. Price Range (AUD),Customer Reviews,Customer Feedback Rating,Vendor Website,Vendor Contact Details
Clarilis,"Clarilis provides an industry-leading platform designed for complex legal documents, liberating lawyers from inefficient drafting.",Clarilis Platform,Clarilis is a legal document automation software that allows drafting of complex legal documents 90% faster using AI and LLMs.,Contracting & Document Automation,,Liberates lawyers from inefficient drafting by automating complex legal documents.,Corporate legal; Private practice,Enterprise-grade,,Yes,Large Language Model (LLM) Platforms,,,Yes,Market Leader / Standard,,Cloud (SaaS),Other / Not Specified,,,,,,,,,,https://www.clarilis.com,
Clearbrief,"Clearbrief provides AI-powered tools for legal professionals to enhance accuracy in legal documents, offering features like hyperlinked citations, fact-checking, and evidence review.",Clearbrief,"Clearbrief is an AI tool for legal professionals that provides hyperlinked citations, fact-checking, and evidence review to enhance legal document accuracy.","Litigation, Disputes & Investigations",AI-powered fact-checking and hyperlinked evidence for legal documents.,Enhances accuracy in legal documents by providing AI-powered fact-checking and hyperlinked citations.,Litigation / Disputes Teams; Corporate legal,Enterprise-grade,North America (US & Canada); Europe (UK & EU),Yes,Large Language Model (LLM) Platforms; Natural Language Processing (NLP) / Text Analytics,,Subscription (SaaS),,Growing Adoption,,Cloud (SaaS),Other / Not Specified,English only,,,,,SOC 2 (Type I or II),,Positive feedback from various legal professionals highlighting time savings and accuracy improvements.,,https://clearbrief.com,
Clearlaw Inc.,"Clearlaw provides AI-powered contract review and data extraction solutions, focusing on understanding the content and context of legal documents to empower corporate legal teams.",Clearlaw Contracting Intelligence AI,"Clearlaw's platform provides AI-powered contract review and data extraction, helping legal teams understand legal documents and obligations.",Contracting & Document Automation,Contract review and data extraction,"Provides a deep understanding of legal documents and obligations, reducing review times and improving risk analysis.",Corporate legal,Enterprise-grade,,Yes,Natural Language Processing (NLP) / Text Analytics,,,,Emerging / New Entrant,,Cloud (SaaS),Corporate,English only,,,,,,,,,https://www.clearlaw.ai,"hello@clearlaw.ai, 949-466-4295"
Coheso,Coheso is an AI-native legal front door and work management platform designed to automate in-house legal work from request to resolution.,Coheso,"Coheso automates in-house legal work from request to resolution, unifying intake, task management, and collaboration in a structured system.","Matter, Workflow & Intake Management",Legal front door and work management,"Automates in-house legal work from request to resolution, providing immediate answers to routine legal questions and drafting initial responses for complex issues.",Corporate legal; Compliance & Risk Teams,Enterprise-grade,North America (US & Canada); Europe (UK & EU); Middle East,Yes,Large Language Model (LLM) Platforms; Natural Language Processing (NLP) / Text Analytics,Multi-Region / Distributed Cloud,,Yes,Growing Adoption,,Cloud (SaaS),Corporate,English only,"135 Madison Ave, Fl 5, New York, NY 10016","135 Madison Ave, Fl 5, New York, NY 10016",,,SOC 2 (Type I or II),,,,https://www.coheso.ai,"contact@coheso.ai, +1 (646) 224-7390"
Competition AI,"CompetitionAI is an AI platform built for antitrust lawyers at elite law firms, designed by a team of competition lawyers and AI engineers.",CompetitionAI,"An AI platform for antitrust lawyers, designed to accelerate work and focus on strategy by using AI agents trained on antitrust, competition, and foreign direct investment guidance.","Compliance, Risk & Governance",Antitrust and Foreign Direct Investment,"Accelerates work for antitrust lawyers, allowing more time for strategic activities.",Private practice,Advanced,,Yes,Predictive / Machine Learning (ML) Platforms,,,Yes,Growing Adoption,,Cloud (SaaS),Professional Services,,,,,,,,,,https://competitionlaw.ai,daniel@competitionlaw.ai
Contractify,"Contractify provides smart contract management software that helps organizations manage contracts efficiently with features like AI-powered contract analysis, digital signatures, and automated reminders.",Contractify,"Contractify is a contract management software that uses AI to analyze and digitize contracts, providing features like automated reminders, digital signatures, and contract summaries.",Contracting & Document Automation,"Contract management,AI contract analysis,digital signatures","Streamlines contract management by automating contract analysis, reminders, and digital signatures to reduce risks and maximize contract value.",Corporate legal; Contract Management Teams / Procurement,Advanced,Europe (UK & EU),Yes,Natural Language Processing (NLP) / Text Analytics,Europe / UK,Subscription (SaaS),Yes,Growing Adoption,Easy,Cloud (SaaS),Corporate,Multilingual (supports major global languages),"Polenstraat 163, 9940 Sleidinge, Belgium","Polenstraat 163, 9940 Sleidinge, Belgium; Molenweg 107, B-2830 Willebroek, Belgium; Stadionstraat 27, 4815 NC Breda, Netherlands",,,,,"Positive reviews highlighting peace of mind, ease of use, and outstanding support.",,https://www.contractify.io,"Polenstraat 163, 9940 Sleidinge, Belgium; Molenweg 107, B-2830 Willebroek, Belgium; Stadionstraat 27, 4815 NC Breda, Netherlands"
ContractKen,"ContractKen provides AI-powered solutions for contract drafting and review, integrating with Microsoft Word to enhance legal expertise through playbooks, clause libraries, and precedent-based drafting.",Word Copilot,"Word Copilot is an AI-powered tool for contract drafting and review, featuring clause libraries, playbooks, and precedent-based drafting within Microsoft Word.",Contracting & Document Automation,"Contract drafting and review,clause management,precedent-based drafting","Enhances contract drafting and review efficiency by integrating AI with Microsoft Word, allowing for faster and more accurate contract management.",Corporate legal; Contract Management Teams / Procurement,Advanced,,Yes,Large Language Model (LLM) Platforms; Natural Language Processing (NLP) / Text Analytics,,Subscription (SaaS),Yes,Growing Adoption,Easy,Cloud (SaaS),Corporate,English only,,,,,,,,,https://www.contractken.com,
ContractSafe,"ContractSafe provides easy and affordable AI-powered contract management software for companies of all sizes, offering features like contract repository, smart search, and integrations with other tools.",ContractSafe,"ContractSafe is a contract management software that offers AI-powered search, contract repository, user roles and permissions, and integrations with other tools.",Contracting & Document Automation,"Contract repository,smart search,user roles and permissions","Simplifies contract management by providing a centralized repository, AI-powered search, and automated notifications.",Corporate legal; Small Business,Advanced,North America (US & Canada),Yes,Natural Language Processing (NLP) / Text Analytics,,Subscription (SaaS),Yes,Growing Adoption,Easy,Cloud (SaaS),Other / Not Specified,English only,"Malibu, CA, USA",,,,HIPAA Compliance (US),,Positive reviews highlighting ease of use and effective contract management.,,https://www.contractsafe.com,"23823 Malibu Road, Suite 50-197 Malibu, CA 90265"
ContractZen,"ContractZen is a cloud-based governance platform offering solutions for contract management, board portal, entity management, and virtual data rooms, powered by AI.",ContractZen,"ContractZen is a cloud-based platform that unifies contract management, board portal, entity management, and virtual data rooms with AI-powered features.",Corporate Governance & Entity Management,"Contract management,board portal,entity management,virtual data rooms","Streamlines governance processes, reduces administrative costs, and enhances compliance and legal oversight.",Corporate legal; Legal Operations Professionals,Enterprise-grade,,Yes,Natural Language Processing (NLP) / Text Analytics; AI Integration / Orchestration Layer,Multi-Region / Distributed Cloud,Subscription (SaaS),Yes,Growing Adoption,Very Easy,Cloud (SaaS),Corporate,Multilingual (supports major global languages),"Helsinki, Finland","Helsinki, Finland; Palo Alto, USA",Azure,ISO 27001; ISO 27018,SOC 2 (Type I or II),,"Positive reviews from companies like RELEX Solutions, SIGG, and Kiron Interactive.",,https://www.contractzen.com,"Eteläesplanadi 2, 00130 Helsinki, Finland; 470 Ramona Street, Palo Alto CA 94301, USA"
Contractzy,"AI-powered Contract Lifecycle Management Software offering smarter contracting solutions with features like AI Risk Analysis, Contract Summary, and Data Extraction.",CORA AI,"AI-powered contract automation and risk review assistant that highlights risky clauses, generates contract summaries, and extracts key details with high accuracy.",Contracting & Document Automation,"Contract Lifecycle Management,Risk Analysis,Contract Summary,Data Extraction","Streamlines contract management by automating drafting, negotiation, signing, and tracking, while ensuring compliance and reducing risk.",Corporate legal; Contract Management Teams / Procurement,Enterprise-grade,,Yes,Natural Language Processing (NLP) / Text Analytics; Computer Vision & Document Recognition,,Subscription (SaaS),Yes,Growing Adoption,Easy,Cloud (SaaS),Corporate,English only,"1151 Walker Road, Suite 535, Dover, Delaware – 19904, USA",,,,,,Positive feedback on contract management efficiency and customer support.,,https://www.contractzy.io,"1151 Walker Road, Suite 535, Dover, Delaware – 19904, USA"
